generation,best_fitness,avg_fitness,std_fitness,median_fitness,min_fitness,best_quality,avg_quality,best_diversity,avg_diversity,best_controlability,avg_controlability,population_size,percentage_quality_pass
0,0.2706093189405326,0.13842805934811672,0.0566714069930777,0.13642473112825027,0.03571428570153061,0.8118279568215978,0.41528417804435014,1.0,0.9975680271982269,1.0,0.3535790830720925,50,0.0
1,0.2885304658843026,0.17665417148778487,0.07009771151610598,0.1842037889628028,0.03571428570153061,0.8655913976529078,0.5299625144633546,1.0,0.917341497416559,1.0,0.43661296514803616,67,0.0
2,0.2974910393561876,0.20055399995344242,0.07556483604435864,0.2199820787573381,0.03571428570153061,0.8924731180685628,0.6016619998603272,1.0,0.8957653122539597,1.0,0.4576964056913938,79,0.0
3,0.3064516128280726,0.21530555971298213,0.07782257712956013,0.24379160255835852,0.03571428570153061,0.9193548384842178,0.6459166791389465,1.0,0.8745091894180033,1.0,0.44931569584269165,91,0.0
4,0.3243727597718426,0.22343046275058345,0.07974030293932903,0.2542242702445561,0.03571428570153061,0.9731182793155277,0.6702913882517503,1.0,0.8543816085116038,1.0,0.45203657948513976,98,0.0
5,0.3273809523235544,0.2331100300857425,0.08151300068146407,0.26315284169970066,0.03571428570153061,0.9821428569706632,0.6993300902572275,1.0,0.8522239496500951,1.0,0.4564366433203311,108,0.0
6,0.593939393892011,0.24267276039426916,0.08865573587318058,0.2706093189405326,0.03571428570153061,1.0,0.7212198622117116,1.0,0.8595256403449901,1.0,0.4625186801134129,115,0.8695652173913043
7,0.593939393892011,0.2524679026058244,0.09743885499465381,0.27956989241241764,0.03571428570153061,1.0,0.7369125067384416,1.0,0.8498777159678327,1.0,0.4596085411842266,119,4.201680672268908
8,0.593939393892011,0.26243666875036953,0.10645087539757438,0.2885304658843026,0.03571428570153061,1.0,0.750619047420222,1.0,0.8403228825318206,1.0,0.456777974159996,125,7.2
9,0.6060606060110193,0.27405496552374853,0.12060454795954276,0.2885304658843026,0.03571428570153061,1.0,0.756639016714436,1.0,0.8385149011492168,1.0,0.46146813707468726,125,12.8
10,0.6060606060110193,0.2780754977593175,0.12423464832467432,0.2885304658843026,0.03571428570153061,1.0,0.7599090434466368,1.0,0.836988201292162,1.0,0.46192374442846484,127,14.173228346456693
11,0.6060606060110193,0.2871263382508715,0.1306993095938803,0.2915386583761706,0.03571428570153061,1.0,0.7683909950331472,1.0,0.833334843488965,1.0,0.46696717323058007,132,17.424242424242426
12,0.6060606060110193,0.29430862284806536,0.136333633405676,0.2915386583761706,0.03571428570153061,1.0,0.7740574201041415,1.0,0.8271137271274474,1.0,0.4559313195936662,134,20.149253731343283
13,0.6121212120705234,0.306484514726017,0.14792595677875478,0.2974910393561876,0.03571428570153061,1.0,0.7791590424909643,1.0,0.8286739917900934,1.0,0.4705370831741347,136,24.264705882352942
14,0.63636363630854,0.31665245170337636,0.15424393226569164,0.3064516128280726,0.03571428570153061,1.0,0.7895044999621506,1.0,0.8217185715010855,1.0,0.48293382091254017,142,26.056338028169016
15,0.6484848484275482,0.3241317833374632,0.1615205728309878,0.3064516128280726,0.03571428570153061,1.0,0.792852308827287,1.0,0.8154262361355975,1.0,0.5022455381697465,143,27.272727272727273
16,0.6606060605465565,0.3360755307638552,0.17222809626857885,0.3064516128280726,0.03571428570153061,1.0,0.7965448528512997,1.0,0.8016821086148919,1.0,0.5245978531786557,143,30.06993006993007
17,0.6606060605465565,0.34180851313379157,0.17668226304888834,0.3064516128280726,0.03571428570153061,1.0,0.798703116856863,1.0,0.791521615644921,1.0,0.5358616614550247,144,31.25
18,0.8945578231016501,0.3487597464329813,0.18375175765637233,0.3064516128280726,0.03571428570153061,1.0,0.8037843400131688,1.0,0.778524338276364,1.0,0.5508065900699194,147,31.292517006802722
19,0.8945578231016501,0.3512364615560148,0.18687989285749362,0.3064516128280726,0.03571428570153061,1.0,0.8048562354871908,1.0,0.7635433753304678,1.0,0.5533150666925264,149,31.543624161073826
20,0.8945578231016501,0.3607490153743597,0.1971080932004687,0.3064516128280726,0.03571428570153061,1.0,0.8059967111676978,1.0,0.7558923289303882,1.0,0.5659675048259313,149,33.557046979865774
21,0.8945578231016501,0.3658262905492298,0.20195803337539484,0.30952380947278907,0.03571428570153061,1.0,0.808805352808397,1.0,0.7420771083283138,1.0,0.5726392810020223,151,33.77483443708609
22,0.8945578231016501,0.3695861756376626,0.20596105163475925,0.30952380947278907,0.03571428570153061,1.0,0.8089833774486916,1.0,0.7410300625649524,1.0,0.5776185635038281,151,34.437086092715234
23,0.8945578231016501,0.37866736085405966,0.2165246655589002,0.31246799781180856,0.03571428570153061,1.0,0.8110649606566017,1.0,0.7298289998202862,1.0,0.5827046042609269,152,35.526315789473685
24,0.9849064625550715,0.3815807682699569,0.2220144196878983,0.3154121862999576,0.03571428570153061,1.0,0.811418667504176,1.0,0.7302077259792458,1.0,0.5836657147549378,152,35.526315789473685
25,0.9849064625550715,0.3892885097421416,0.22733280662427438,0.3154121862999576,0.03571428570153061,1.0,0.8128846519391729,1.0,0.7281140795691823,1.0,0.5921780075449581,153,37.254901960784316
26,0.9849064625550715,0.39345009791357777,0.23134378173620676,0.3154121862999576,0.03571428570153061,1.0,0.814448799918992,1.0,0.7275665225307294,1.0,0.5976803249232324,154,37.66233766233766
27,0.9863945578036061,0.4005969128662812,0.23937417229208338,0.3154121862999576,0.03571428570153061,1.0,0.8151470264250402,1.0,0.7287508384880446,1.0,0.6070801217430465,154,38.311688311688314
28,0.9863945578036061,0.40616617387105125,0.24265771578342288,0.3154121862999576,0.03571428570153061,1.0,0.8165995869265135,1.0,0.7281834388865602,1.0,0.61192073567487,154,39.61038961038961
29,0.9863945578036061,0.40819249422388787,0.24526459426537772,0.3154121862999576,0.03571428570153061,1.0,0.8167741435525891,1.0,0.725317974710186,1.0,0.6148723295361989,154,39.61038961038961
30,0.9863945578036061,0.4083658985895954,0.24598799136644936,0.3154121862999576,0.03571428570153061,1.0,0.8180338925056521,1.0,0.7273720223856196,1.0,0.6157306096932362,156,39.1025641025641
31,0.9863945578036061,0.4188746027872369,0.2545676770533372,0.3154121862999576,0.03571428570153061,1.0,0.8197065757494671,1.0,0.7341127277384414,1.0,0.6268812731849672,157,40.76433121019108
32,0.9863945578036061,0.4229055878222226,0.2582668263480792,0.3154121862999576,0.03571428570153061,1.0,0.819820315513985,1.0,0.736656501275715,1.0,0.6297628427225355,157,41.40127388535032
33,0.9863945578036061,0.42505221058105735,0.2603065260344621,0.3154121862999576,0.03571428570153061,1.0,0.8201627578122738,1.0,0.7402420977680101,1.0,0.6355689938399828,157,41.40127388535032
34,0.9863945578036061,0.4281865611593625,0.2622276432398513,0.3169162825310107,0.03571428570153061,1.0,0.8216412431478373,1.0,0.7393295755801255,1.0,0.6428894588295018,158,41.77215189873418
35,0.9863945578036061,0.4301426140063612,0.26411512496094786,0.3169162825310107,0.03571428570153061,1.0,0.8216412431478373,1.0,0.7363148705319353,1.0,0.6458814035942052,158,41.77215189873418
36,0.9863945578036061,0.4376901726837576,0.2659913666438968,0.32142857137329933,0.03571428570153061,1.0,0.8235515751106156,1.0,0.7319790560102808,1.0,0.6495605570781414,159,44.0251572327044
37,0.9863945578036061,0.4378028842997562,0.26593952343772975,0.3243727597718426,0.03571428570153061,1.0,0.8238897099586112,1.0,0.730763891557013,1.0,0.6523023231364808,159,44.0251572327044
38,1.0,0.44059191180657853,0.2690764738349451,0.3243727597718426,0.03571428570153061,1.0,0.8256060386719808,1.0,0.7286172102849209,1.0,0.655700017001503,160,43.75
39,1.0,0.441541142487423,0.26827938544060453,0.3243727597718426,0.03571428570153061,1.0,0.8273570998085685,1.0,0.7284227464188069,1.0,0.6597118447084228,161,44.099378881987576
40,1.0,0.44254653205644906,0.269399346478296,0.3243727597718426,0.03571428570153061,1.0,0.8273570998085685,1.0,0.7290669620686063,1.0,0.6598247752572446,161,44.099378881987576
41,1.0,0.4445582067290631,0.27128917755878995,0.3243727597718426,0.03571428570153061,1.0,0.8280249686387713,1.0,0.7267671268291341,1.0,0.6621896737863802,161,44.099378881987576
42,1.0,0.44650013674512135,0.27150311387428167,0.3243727597718426,0.03571428570153061,1.0,0.8296945818217188,1.0,0.7249830180841992,1.0,0.6674242591335591,162,44.44444444444444
43,1.0,0.4485768346272867,0.2726513516221867,0.3243727597718426,0.03571428570153061,1.0,0.8315175133049354,1.0,0.7225693949863816,1.0,0.6766568034542135,162,44.44444444444444
44,1.0,0.4515604892967499,0.2743704311432271,0.3243727597718426,0.03571428570153061,1.0,0.832276676637758,1.0,0.720075285326752,1.0,0.6807572630181964,163,44.785276073619634
45,1.0,0.4510944375823859,0.27355007250675284,0.3243727597718426,0.03571428570153061,1.0,0.8340639165632786,1.0,0.715484849471242,1.0,0.688851853580486,164,44.51219512195122
46,1.0,0.45119581095996086,0.2736872471405359,0.3243727597718426,0.03571428570153061,1.0,0.8340639165632786,1.0,0.7157889696039665,1.0,0.688851853580486,164,44.51219512195122
47,1.0,0.453087764304153,0.2757946187757832,0.3243727597718426,0.03571428570153061,1.0,0.8340639165632786,1.0,0.7182522038103155,1.0,0.689960501031504,164,44.51219512195122
48,1.0,0.4540674305875732,0.2767339012199544,0.3243727597718426,0.03571428570153061,1.0,0.8342278294926424,1.0,0.7197203268301261,1.0,0.6914017427163861,164,44.51219512195122
49,1.0,0.4566511348326989,0.2788562303641265,0.3243727597718426,0.03571428570153061,1.0,0.8342290002981329,1.0,0.718528690682678,1.0,0.6931020985154976,164,44.51219512195122
50,1.0,0.45809328211737016,0.28050906787949753,0.3243727597718426,0.03571428570153061,1.0,0.8342290002981329,1.0,0.719971828643642,1.0,0.6932129632615973,164,44.51219512195122
51,1.0,0.458493223740148,0.2806966626966396,0.3243727597718426,0.03571428570153061,1.0,0.8342290002981329,1.0,0.7177071302301389,1.0,0.6943216107115066,164,44.51219512195122
52,1.0,0.46534518622660775,0.2849345704124378,0.3243727597718426,0.03571428570153061,1.0,0.8355595120605692,1.0,0.71882907328954,1.0,0.6945213144507456,165,45.45454545454545
53,1.0,0.47028562066875124,0.2876230362306769,0.3243727597718426,0.03571428570153061,1.0,0.8357224315798689,1.0,0.7213644405740435,1.0,0.698792907385587,165,46.06060606060606
54,1.0,0.4714726639268191,0.28862445238202283,0.3243727597718426,0.03571428570153061,1.0,0.8357224315798689,1.0,0.7224873202274258,1.0,0.700886571297052,165,46.06060606060606
55,1.0,0.47301219047350346,0.28844808112251136,0.3243727597718426,0.03571428570153061,1.0,0.8362111901345102,1.0,0.7198007255329084,1.0,0.7038682598406285,165,46.666666666666664
56,1.0,0.4753147067051702,0.29044924905054637,0.3243727597718426,0.03571428570153061,1.0,0.8368628682051926,1.0,0.7194306996354256,1.0,0.7050832808655191,165,46.666666666666664
57,1.0,0.4758467648792022,0.28965372095042186,0.3243727597718426,0.03571428570153061,1.0,0.8378456220111855,1.0,0.7186554020017538,1.0,0.7049978941782779,166,46.98795180722892
58,1.0,0.4791197563448845,0.29079097616030314,0.3243727597718426,0.03571428570153061,1.0,0.8383314362371841,1.0,0.7167318004324368,1.0,0.7069694166324648,166,47.59036144578313
59,1.0,0.48045431035291114,0.2916865318908743,0.3243727597718426,0.03571428570153061,1.0,0.8389791885363564,1.0,0.7114469303522359,1.0,0.7092227028781907,166,47.59036144578313
60,1.0,0.48418254099729585,0.29358820362881044,0.3243727597718426,0.03571428570153061,1.0,0.839141126612769,1.0,0.7139704074840413,1.0,0.7111942253323777,166,48.19277108433735
61,1.0,0.48916631364942237,0.2948151609434059,0.3243727597718426,0.03571428570153061,1.0,0.8399508169899733,1.0,0.7137145718439339,1.0,0.7148086831652364,166,49.397590361445786
62,1.0,0.48974309317002834,0.2953551857867516,0.3243727597718426,0.03571428570153061,1.0,0.8399508169899733,1.0,0.7142048909813521,1.0,0.715465857316267,166,49.397590361445786
63,1.0,0.49047254157591436,0.2964776376011913,0.3243727597718426,0.03571428570153061,1.0,0.8399508169899733,1.0,0.7163932361990101,1.0,0.715465857316267,166,49.397590361445786
64,1.0,0.4920484145863576,0.2979294180138903,0.3243727597718426,0.03571428570153061,1.0,0.8401671199887804,1.0,0.7155471373077271,1.0,0.7119902211582568,166,49.397590361445786
65,1.0,0.4921485329796158,0.2979544777229688,0.3243727597718426,0.03571428570153061,1.0,0.8403290580635735,1.0,0.7160728664518562,1.0,0.7105663438299287,166,49.397590361445786
66,1.0,0.4941715304240403,0.29856612664279397,0.3935589288979167,0.03571428570153061,1.0,0.8407061424404684,1.0,0.7167499289859858,1.0,0.7123595632186679,166,50.0
67,1.0,0.4950267109639837,0.2995541067972806,0.3935589288979167,0.03571428570153061,1.0,0.8408680805152616,1.0,0.7213089556362221,1.0,0.7132357954200419,166,50.0
