generation,best_fitness,avg_fitness,std_fitness,median_fitness,min_fitness,best_quality,avg_quality,best_diversity,avg_diversity,best_controlability,avg_controlability,population_size,percentage_quality_pass
0,0.1899999999733333,0.17656565654794615,0.006434589211319558,0.1766666666488889,0.16333333332444444,0.56999999992,0.5296969696438384,1.0,0.12572298712609692,1.0,0.7613636360262784,33,0.0
1,0.19666666663555557,0.1820588235080392,0.007209049585919349,0.1833333333111111,0.16333333332444444,0.5899999999066667,0.5461764705241177,1.0,0.16991770182412827,1.0,0.7127757349156996,68,0.0
2,0.19666666663555557,0.18461279458904598,0.0073046127270828595,0.18666666664222223,0.16333333332444444,0.5899999999066667,0.553838383767138,1.0,0.21147218015725802,1.0,0.7114898986042061,99,0.0
3,0.19666666663555557,0.18620289852600969,0.007612435239030048,0.18666666664222223,0.16333333332444444,0.5899999999066667,0.558608695578029,1.0,0.2201867426880848,1.0,0.6116847822235904,115,0.0
4,0.23749999990625004,0.18799645387465422,0.008547472490021286,0.1899999999733333,0.16333333332444444,0.7124999997187501,0.5639893616239627,1.0,0.2368993249458839,1.0,0.5839982265476091,141,0.0
5,0.2562499998828125,0.18937903223085414,0.010144825787923358,0.1899999999733333,0.16333333332444444,0.7687499996484375,0.5681370966925625,1.0,0.24082349170696882,1.0,0.5447580641185736,155,0.0
6,0.2687499998671875,0.19169176703849566,0.014775462627224421,0.19333333330444444,0.16333333332444444,0.8062499996015625,0.575075301115487,1.0,0.23346073751200008,1.0,0.5320030116310948,166,0.0
7,0.287499999953125,0.19393939390823076,0.018752778511518402,0.19333333330444444,0.16333333332444444,0.862499999859375,0.5818181817246922,1.0,0.23122307349275292,1.0,0.5257457382232666,176,0.0
8,0.287499999953125,0.19853945032075151,0.02508140914952275,0.19333333330444444,0.16333333332444444,0.862499999859375,0.5956183509622546,1.0,0.22306175494590852,1.0,0.5234374995561316,188,0.0
9,0.287499999953125,0.20162393158820158,0.02820972830324266,0.19333333330444444,0.16333333332444444,0.862499999859375,0.6048717947646047,1.0,0.22589274468179676,1.0,0.5251602559582833,195,0.0
10,0.287499999953125,0.20548922052514962,0.03189819598861869,0.19333333330444444,0.16333333332444444,0.862499999859375,0.6164676615754487,1.0,0.23600136716888317,1.0,0.5290733826543551,201,0.0
11,0.287499999953125,0.2075059808207013,0.03317247063854287,0.19333333330444444,0.16333333332444444,0.862499999859375,0.6225179424621038,1.0,0.24605424441403598,1.0,0.5269138751710153,209,0.0
12,0.3,0.20895243706469552,0.03437502329314678,0.19333333330444444,0.16333333332444444,0.9,0.6268573111940867,1.0,0.24503099496760541,1.0,0.5249115561815946,212,0.0
13,0.3,0.21020249216833467,0.035061017310980186,0.19333333330444444,0.16333333332444444,0.9,0.6306074765050038,1.0,0.25100097992964926,1.0,0.5369450930351471,214,0.0
14,0.3,0.2107968509543541,0.03546319720695096,0.19333333330444444,0.16333333332444444,0.9,0.6323905528630621,1.0,0.24801704137195915,1.0,0.5371543774657078,217,0.0
15,0.3,0.21180241322823187,0.03657088627996997,0.19666666663555557,0.16333333332444444,0.9,0.6354072396846956,1.0,0.2525976517950588,1.0,0.5490667416689496,221,0.0
16,0.3,0.21314376872424476,0.03782414386309271,0.19666666663555557,0.16333333332444444,0.9,0.6394313061727344,1.0,0.2569365992363348,1.0,0.5622184680545292,222,0.0
17,0.3,0.2139899553116811,0.0383772303343594,0.19666666663555557,0.16333333332444444,0.9,0.6419698659350433,1.0,0.26118065164020215,1.0,0.5666852674390521,224,0.0
18,0.30208333333203125,0.2155240174221406,0.03948590627014304,0.19666666663555557,0.16333333332444444,0.9062499999960938,0.6465720522664218,1.0,0.27250548658616586,1.0,0.5837882091860842,229,0.0
19,0.30208333333203125,0.21716450211889426,0.04069498524063227,0.19666666663555557,0.16333333332444444,0.9062499999960938,0.6514935063566827,1.0,0.27957780362277435,1.0,0.597267315591391,231,0.0
20,0.30208333333203125,0.2175786837877783,0.040840081561526506,0.19666666663555557,0.16333333332444444,0.9062499999960938,0.6527360513633349,1.0,0.2820568892556597,1.0,0.5942864802610732,233,0.0
21,0.30624999999609376,0.21875176549100342,0.04162751509251819,0.19666666663555557,0.16333333332444444,0.9187499999882812,0.6562552964730103,1.0,0.2846070009073837,1.0,0.6016949148371292,236,0.0
22,0.30624999999609376,0.21915791311986552,0.041956910083559916,0.19666666663555557,0.16333333332444444,0.9187499999882812,0.6574737393595965,1.0,0.27933409391882147,1.0,0.6029411760602679,238,0.0
23,0.30624999999609376,0.22065843616864653,0.0428080398977629,0.19666666663555557,0.16333333332444444,0.9187499999882812,0.6619753085059397,1.0,0.2785898994935503,1.0,0.6177983534907084,243,0.0
24,0.308333333328125,0.22244217682567807,0.043889381791054616,0.19666666663555557,0.16333333332444444,0.924999999984375,0.6673265304770342,1.0,0.28665936116771523,1.0,0.6278061220356345,245,0.0
25,0.308333333328125,0.22276041662149576,0.044019508173177,0.19666666663555557,0.16333333332444444,0.924999999984375,0.6682812498644874,1.0,0.28980878005214117,1.0,0.6412550399002568,248,0.0
26,0.31041666666015627,0.22361499995505596,0.044638040841165384,0.19666666663555557,0.16333333332444444,0.9312499999804688,0.670844999865168,1.0,0.2867760537201641,1.0,0.6434999995820313,250,0.0
27,0.31041666666015627,0.2247933200612389,0.045409771711222596,0.19666666663555557,0.16333333332444444,0.9312499999804688,0.6743799601837168,1.0,0.2790647317174699,1.0,0.6476934519703699,252,0.0
28,0.31041666666015627,0.22565124667501762,0.04630555241575404,0.19666666663555557,0.16333333332444444,0.9312499999804688,0.6769537400250529,1.0,0.28448987874690235,1.0,0.6518208657384196,254,0.0
29,0.3124999999921875,0.2262369280603607,0.04674909377653213,0.19666666663555557,0.16333333332444444,0.9374999999765625,0.6787107841810821,1.0,0.28920267152665863,1.0,0.6492647054806219,255,0.0
30,0.3124999999921875,0.22768137250426498,0.04715862220583218,0.19666666663555557,0.16333333332444444,0.9374999999765625,0.683044117512795,1.0,0.2913895133819249,1.0,0.6537990192051548,255,0.0
31,0.3124999999921875,0.22818196610131394,0.04752346035272804,0.19666666663555557,0.16333333332444444,0.9374999999765625,0.6845458983039419,1.0,0.2914333427091222,1.0,0.6552734371047974,256,0.0
32,0.3145833333242188,0.2285749026794095,0.0477804244572179,0.19666666663555557,0.16333333332444444,0.9437499999726563,0.6857247080382286,1.0,0.2974147174699653,1.0,0.6622081708038212,257,0.0
33,0.3145833333242188,0.22925287351848633,0.04797586316163206,0.19666666663555557,0.16333333332444444,0.9437499999726563,0.687758620555459,1.0,0.2953437795690866,1.0,0.6647509574503113,261,0.0
34,0.3145833333242188,0.23076653939528927,0.04870495560120506,0.19666666663555557,0.16333333332444444,0.9437499999726563,0.6922996181858678,1.0,0.30296156337761565,1.0,0.6700858774715978,262,0.0
35,0.31666666665625004,0.23256761001767867,0.049179004026462955,0.19666666663555557,0.16333333332444444,0.9499999999687501,0.697702830053036,1.0,0.3040688996969165,1.0,0.6706367920653377,265,0.0
36,0.31666666665625004,0.23287907263662408,0.04937598698205508,0.19666666663555557,0.16333333332444444,0.9499999999687501,0.6986372179098723,1.0,0.30634935121739976,1.0,0.6737546988650214,266,0.0
37,0.31666666665625004,0.23354399004089343,0.04950121175970389,0.19666666663555557,0.16333333332444444,0.9499999999687501,0.7006319701226803,1.0,0.30130241935443974,1.0,0.6775092933070981,269,0.0
38,0.31666666665625004,0.23399382711506544,0.04984008337941476,0.19666666663555557,0.16333333332444444,0.9499999999687501,0.7019814813451963,1.0,0.30119403441730613,1.0,0.680439814440285,270,0.0
39,0.31666666665625004,0.2346947496496835,0.05024789407027191,0.19666666663555557,0.16333333332444444,0.9499999999687501,0.7040842489490505,1.0,0.29744101910431536,1.0,0.6805173989080743,273,0.0
40,0.32291666665234375,0.23460740067721483,0.050387282923330154,0.19666666663555557,0.16333333332444444,0.9687499999570313,0.7038222020316445,1.0,0.2994538383171218,1.0,0.6852436819617977,277,0.0
41,0.32291666665234375,0.2348491636354876,0.05062072655675066,0.19666666663555557,0.16333333332444444,0.9687499999570313,0.704547490906463,1.0,0.29876605397203904,1.0,0.6861559136232218,279,0.0
42,0.32291666665234375,0.23600297614557703,0.05079455234102361,0.19666666663555557,0.16333333332444444,0.9687499999570313,0.7080089284367311,1.0,0.3002768926883188,1.0,0.6889508925005231,280,0.0
43,0.32291666665234375,0.23601001173388314,0.05085803766194001,0.19666666663555557,0.16333333332444444,0.9687499999570313,0.7080300352016494,1.0,0.30240155325376517,1.0,0.6923586568963256,283,0.0
